"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,15,1,14,2,1,8,7,11,-7,5,-6,12,4,18,16,5,-3,18,12,3,-2,-9
2,-8,-1,19,15,-7,-1,-2,10,13,11,6,13,-8,1,-5,-2,20,-8,-3,11,13,14
3,1,17,-4,17,3,-5,-5,6,-5,16,2,17,-10,7,5,14,0,14,2,14,19,8
4,7,15,18,-8,10,1,-5,9,8,13,18,-5,8,0,-3,-2,5,10,6,-4,15,13
5,-8,8,-10,-5,-8,8,2,4,-7,3,1,8,15,1,-3,-1,10,-4,2,2,0,0
6,-8,15,12,-3,-3,13,8,4,16,-6,3,11,-8,-10,8,12,12,-10,12,18,1,8
7,7,9,18,18,1,5,5,-9,14,18,-1,-3,14,-3,0,17,-7,12,2,16,10,5
8,9,8,14,10,19,4,-3,8,4,-6,7,-3,6,-10,2,4,19,13,14,-7,3,7
9,10,13,11,17,20,2,-2,5,14,-5,8,17,-10,5,-9,9,13,-9,-3,18,-8,1
10,11,-4,4,5,-7,-7,14,12,20,0,-4,-6,17,20,-9,8,-2,17,2,10,6,14
