"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,4,15,-9,-4,4,20,7,-2,14,-3,11,4,-3,16,9,15,-8,19,-6,-1,15,16
2,7,-2,4,-3,4,9,7,16,-5,20,18,1,13,3,12,12,-10,-8,10,-4,11,5
3,0,-8,16,9,8,1,15,16,17,7,20,-10,-6,-3,15,12,10,20,1,-4,13,19
4,15,12,9,-2,-1,0,15,11,15,19,15,18,2,0,-6,1,-1,-4,2,1,0,17
5,16,8,-2,8,16,-7,0,1,5,-4,2,-5,-2,-5,-4,2,3,6,3,-6,6,-10
6,0,-3,7,-3,11,20,-3,4,14,-1,-10,10,19,3,-4,5,13,-2,-4,5,18,18
7,9,20,-3,6,12,9,9,-6,-8,9,14,-1,-3,20,19,-6,6,14,19,15,-9,0
8,-4,-6,5,-6,-9,13,17,11,1,19,9,-8,-4,1,9,12,-3,19,19,-2,16,3
9,-8,20,5,-7,12,19,6,-6,17,4,17,2,-1,-2,9,16,3,19,-10,19,-2,17
10,-1,-7,16,-9,-9,14,17,13,12,20,-6,20,6,9,9,14,-2,-9,-9,17,-9,12
