"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,6,-5,11,-4,7,0,17,-1,14,-5,20,14,-6,10,10,-6,4,13,3,6,8,18
2,20,-4,14,15,2,20,2,7,-6,10,6,20,12,2,8,1,12,5,-9,5,20,-10
3,-5,8,-5,-6,12,5,-3,-6,15,10,-8,-5,8,9,19,-8,-2,2,-8,1,8,2
4,-7,5,-7,7,-1,13,4,-9,-3,0,-10,-5,8,-10,6,12,1,-6,14,-3,17,2
5,1,17,8,1,0,9,3,7,-3,-6,16,19,-4,-5,10,20,2,14,-8,19,1,-7
6,4,5,-4,-5,4,15,-2,17,-10,1,15,7,1,-10,5,-4,-3,7,-3,10,8,4
7,15,12,5,-10,-3,11,8,2,-9,4,-8,12,7,5,7,0,0,15,-4,-4,12,1
8,-10,18,-8,-2,12,20,2,20,-6,20,6,-2,14,-8,-6,4,9,6,13,-7,16,6
9,0,-4,13,17,-5,-4,19,15,15,-1,13,13,-2,-2,1,20,15,12,10,18,-1,20
10,14,-1,-8,7,3,16,5,-3,15,3,-3,-2,6,-2,3,20,18,16,9,-8,19,14
