"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,15,16,14,16,3,18,-5,-10,15,20,16,19,-3,0,-1,17,13,-9,5,-1,11,11
2,-3,-10,0,-7,-4,-9,6,-4,15,16,11,6,5,-9,15,6,-7,18,2,-1,13,20
3,13,1,1,18,9,-4,-9,8,-4,11,8,-7,-6,-9,13,3,1,-8,14,8,-5,-4
4,5,14,-3,-1,-10,-4,18,4,15,-5,6,10,5,-9,14,6,9,-6,4,0,-8,-4
5,16,3,8,11,9,-7,4,7,19,11,9,-1,20,9,17,20,8,1,-5,17,6,-4
6,0,-8,8,6,10,5,-3,3,13,8,17,-2,11,-6,16,10,1,-1,14,-10,1,4
7,13,-2,5,5,-2,18,17,3,14,-6,3,14,-2,8,-5,10,10,5,6,13,-6,16
8,14,-2,9,2,17,-3,15,3,-5,-3,7,10,9,13,14,-8,-8,13,-2,6,-5,7
9,-6,5,-10,10,15,-7,6,-5,10,1,10,13,-10,-8,18,2,15,-5,8,-2,13,16
10,19,-2,9,2,-10,14,2,1,-10,-2,-2,-9,19,-9,4,13,9,10,7,9,15,11
