"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,-9,8,-1,1,9,4,12,-5,-10,15,1,-3,13,-9,18,-6,2,-3,-9,18,11,8
2,18,10,-4,11,7,-10,-4,3,1,-4,15,-1,13,-3,18,-5,-9,1,7,-4,13,3
3,-7,1,-4,8,-4,7,5,20,0,-9,-1,0,18,-2,9,-4,-5,-5,-9,-7,7,7
4,6,18,20,-5,13,6,-7,-6,18,-9,12,-10,7,3,-5,3,-6,14,-1,-9,15,-1
5,4,-2,-9,-1,12,-8,20,-1,11,20,2,-5,15,-3,18,3,-4,-5,12,8,10,-6
6,-4,-2,-4,18,-3,7,3,0,-4,14,-8,-9,7,10,6,6,-1,18,9,19,15,14
7,18,-1,10,13,15,-3,12,-9,18,-3,3,-1,13,-10,7,6,-4,-6,13,-10,16,10
8,12,-8,18,-4,-8,-10,16,12,0,16,7,13,-2,1,18,7,-8,-3,6,2,10,16
9,16,14,-6,16,1,-3,16,18,0,16,14,-10,9,20,4,6,4,-5,19,20,19,17
10,17,2,14,-8,19,10,-2,-7,-9,14,12,-9,-1,6,1,4,20,5,8,7,-5,14
