"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,-3,3,17,20,2,10,10,0,13,11,-7,-4,18,-5,-7,11,17,-5,-1,-8,8,3
2,3,15,-4,-1,19,9,-5,-3,-4,7,-5,20,-5,-1,7,7,11,18,-8,-4,-5,-5
3,-1,-2,-10,20,-4,18,4,8,14,6,5,5,-9,13,-7,-1,-4,-10,9,6,1,0
4,4,3,7,12,0,13,3,18,2,-2,6,-8,18,18,7,19,4,17,10,-7,12,1
5,18,19,1,-1,-1,6,8,-10,6,-8,17,10,-7,-8,-9,9,13,-10,7,20,3,4
6,-5,20,13,-9,-9,-7,-4,7,-2,1,14,8,8,5,4,-10,-7,16,19,-5,-10,14
7,14,-8,-7,12,-6,16,0,-3,-2,1,15,20,1,-6,-10,12,5,-4,11,2,17,3
8,1,15,-8,-9,-7,7,15,-1,-10,16,-10,18,-10,-6,-1,17,-6,1,-3,8,-9,17
9,2,-3,2,17,14,5,9,7,-4,4,-5,9,15,6,20,-8,12,-5,-10,-9,14,-10
10,10,16,12,12,8,-2,5,2,17,5,-9,8,-8,12,16,-7,0,20,-8,11,12,-1
