"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,13,2,-3,0,8,13,-6,12,15,-5,12,-5,20,17,-3,-6,12,12,-8,0,16,0
2,20,-3,-9,14,-9,10,1,9,5,10,-9,20,7,10,4,-5,-5,15,-10,9,17,3
3,-6,9,7,5,10,-6,-5,-6,18,-2,-4,-4,2,4,-10,-10,7,1,18,17,18,17
4,10,10,12,15,-2,15,-3,3,-1,16,0,-6,-10,0,16,9,16,-1,8,1,20,12
5,20,8,-3,2,-4,13,20,1,20,-2,-10,-7,12,-3,13,7,11,14,9,-10,14,5
6,1,3,19,5,8,15,16,-5,4,16,-3,11,8,-8,-2,-10,19,-2,15,10,-2,-9
7,19,15,4,2,9,-8,-4,0,19,20,20,2,15,-7,-2,17,1,13,5,15,14,7
8,6,-3,-7,5,-8,-8,14,18,18,19,9,-5,5,-2,-2,19,17,2,14,12,5,3
9,9,2,18,-2,17,20,13,-6,4,8,-3,18,6,10,-2,7,-4,-3,3,0,6,0
10,16,-1,-3,-1,-3,8,17,-6,10,3,15,12,2,19,1,-6,11,19,11,2,13,4
