"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,14,13,9,17,-8,-3,16,0,10,-3,2,16,8,-10,6,10,8,7,7,3,5,15
2,5,-10,14,-6,-10,8,20,2,13,9,-5,20,20,17,-1,2,11,10,5,4,3,2
3,-9,14,17,5,5,-6,18,19,15,0,-6,2,-8,5,18,3,-8,10,4,-7,-1,1
4,6,5,19,17,-1,-10,16,1,1,4,20,8,3,4,5,-5,4,14,-5,13,-10,-6
5,-2,5,-3,-6,-6,-4,-4,8,2,-7,5,5,14,-6,-3,6,10,10,4,-6,16,-8
6,0,-5,17,-10,4,1,-3,13,17,15,20,4,14,17,-1,16,20,15,0,11,3,14
7,7,9,-2,-5,-7,6,-1,6,-8,10,19,-6,8,19,7,18,-6,2,8,-1,-10,-7
8,-7,-3,13,17,6,16,-4,-10,16,0,20,-2,-7,5,-5,-8,18,18,-5,-3,-1,-9
9,12,-2,2,-6,6,14,-6,8,-9,-1,18,-6,9,5,0,0,11,9,-3,0,5,-6
10,2,1,-3,-8,14,-7,4,3,8,5,17,8,-5,-2,6,-3,-8,19,0,5,2,-7
