"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,10,-10,5,0,4,19,-6,-3,3,2,1,3,-8,19,12,4,8,9,10,14,5,11
2,7,5,5,0,8,-5,-1,-6,-8,-6,10,14,19,7,12,6,-4,-4,0,18,-8,-8
3,6,-8,3,3,10,10,13,19,20,11,15,20,-2,-4,16,10,2,-2,18,-3,13,1
4,7,18,3,5,9,19,12,19,-9,1,-2,-9,9,15,13,5,13,-1,14,-9,-10,-8
5,15,15,-2,-6,17,18,18,8,20,7,10,9,17,14,20,5,-7,6,16,14,-5,9
6,-8,18,1,1,18,-3,0,-6,16,9,-7,1,19,-4,11,4,-3,17,14,8,0,-9
7,-1,1,-7,13,4,0,7,3,0,11,6,5,5,1,3,-5,18,-3,-1,2,13,-4
8,-1,9,11,20,6,5,-3,3,-2,6,-4,-2,7,13,3,17,1,20,13,-2,15,14
9,3,10,-5,-9,13,-3,7,15,-2,17,9,7,14,11,2,17,7,-3,-1,15,6,19
10,4,-1,-6,18,18,19,-10,6,-2,16,-3,12,2,13,9,16,12,11,-2,3,9,-7
