"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,-9,5,-6,-9,9,3,0,-1,5,7,2,19,7,-1,18,1,-9,-8,14,2,6,14
2,-5,12,1,-4,11,15,5,-5,2,-4,9,3,7,-9,7,-6,-7,-6,16,7,14,-7
3,-9,-1,-5,14,-4,-8,9,12,0,19,-4,13,2,4,-8,-2,8,1,8,-1,-9,-2
4,4,17,16,4,-7,-1,12,11,-10,-1,13,-1,12,10,-5,-4,-9,17,8,20,-7,-2
5,4,0,1,-8,-1,-6,1,12,14,4,10,17,9,-5,-10,11,-9,-4,18,13,9,11
6,-8,-4,20,19,19,15,-9,10,6,18,1,16,5,10,4,15,13,17,-4,-2,-7,2
7,6,4,-10,-4,-6,6,7,-8,-6,6,8,6,4,-4,-3,9,-8,12,-6,-3,17,16
8,4,-5,5,18,18,14,12,17,10,-10,-1,-5,14,-7,10,10,1,8,13,4,17,-6
9,2,3,4,-6,-7,19,-4,-2,-8,-3,14,-4,13,1,3,1,8,13,-5,5,-5,12
10,15,4,19,8,4,20,13,-9,15,18,15,-4,16,-6,-5,-10,13,8,-2,-2,16,13
