"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,5,12,13,12,-2,-7,13,3,-6,-1,15,-7,-4,3,-9,19,9,1,11,-9,4,-9
2,20,4,14,20,3,19,5,0,8,1,7,6,-6,5,-3,2,6,17,20,8,-3,-7
3,14,5,-6,11,-2,3,-6,10,13,19,19,10,8,3,15,-8,2,-7,20,1,19,6
4,9,0,0,-2,-8,18,18,-3,9,2,6,-1,-4,11,-5,3,10,-8,17,19,6,13
5,4,-4,-9,16,19,20,2,17,15,5,3,14,9,-1,-7,5,16,-1,13,-9,6,-8
6,13,8,18,-3,20,5,11,6,11,16,-2,8,10,-9,-1,14,-6,-6,14,5,2,19
7,-3,-6,-10,3,19,-3,-1,13,-10,17,20,-1,1,3,4,-7,7,17,0,18,7,10
8,2,18,5,-2,-2,-10,-7,-9,4,15,15,4,15,2,14,4,9,13,13,17,16,-8
9,10,7,-1,0,6,3,20,15,20,2,20,-1,0,10,2,-9,2,-1,11,17,15,-7
10,16,8,-8,-1,7,6,-8,5,7,17,-4,5,-8,-1,15,19,20,11,-5,-9,10,-10
