"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,14,-5,-2,9,-5,-3,19,10,4,12,11,10,-5,15,5,15,19,-8,18,-7,-9,9
2,2,2,2,20,16,2,13,16,12,-10,-10,10,3,-8,2,14,16,-4,3,5,-8,12
3,-1,3,-2,0,16,2,-5,5,11,11,0,-6,-10,3,4,17,-5,-8,-2,20,2,0
4,5,-5,6,9,3,-7,14,11,4,6,8,13,6,-5,7,19,7,3,0,19,0,13
5,9,-7,6,1,9,-6,20,-9,17,19,1,-7,-10,20,-6,6,5,20,18,12,19,20
6,14,2,9,-8,19,9,14,6,18,16,16,17,10,3,-10,14,1,4,-7,-1,10,-3
7,6,-1,19,20,13,7,9,17,11,13,12,6,5,-7,20,14,12,-6,17,-6,14,-2
8,15,0,18,12,16,13,8,1,3,8,16,11,-4,20,3,8,2,-6,0,13,19,10
9,11,5,8,-8,12,-3,15,-8,-4,-6,10,-3,17,2,6,-7,1,-7,11,-8,12,10
10,-9,-10,3,-3,-7,10,-5,-8,10,-4,-10,4,-4,8,-2,-8,9,6,3,-9,13,14
