"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,12,-1,-8,2,6,15,9,16,11,-4,1,-9,-3,14,17,-8,7,14,-2,17,3,10
2,-9,-9,16,8,4,5,5,-5,17,10,16,-9,20,-8,-9,5,-2,-7,17,19,-10,-2
3,19,-10,3,7,-1,18,-2,3,6,5,-3,-10,11,1,-4,19,8,4,-6,13,-6,-3
4,11,-4,-4,3,-5,-2,14,-7,4,-10,8,8,-6,10,8,-5,19,11,10,14,16,7
5,13,9,1,19,7,-8,16,6,-2,3,0,1,20,18,-6,14,8,-4,0,5,-9,0
6,13,-5,13,13,-9,9,-8,7,0,3,17,8,19,17,11,9,14,6,-2,5,20,11
7,2,-10,-1,8,19,9,20,18,-9,10,10,20,3,12,3,1,3,17,12,13,1,18
8,4,7,13,-9,18,18,9,10,3,13,10,14,-9,10,12,3,5,16,-8,-10,14,-10
9,7,6,17,5,-5,-9,5,19,-4,19,1,-10,9,11,-10,8,-8,10,18,4,-2,7
10,6,11,0,9,14,20,9,13,7,-1,6,-8,-6,11,3,-2,16,6,15,-3,10,-5
