"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,-5,3,19,13,-9,14,-3,15,-5,11,-3,14,4,10,15,13,3,2,20,1,16,0
2,3,-9,-1,15,9,0,-9,-2,-3,-4,10,-8,2,-10,-1,-8,-6,19,-4,3,-10,19
3,10,16,18,18,-3,19,-1,0,10,0,14,10,-5,-2,0,9,-1,5,19,9,4,-2
4,-10,10,0,15,10,18,5,12,9,13,13,-6,3,13,9,5,1,12,10,17,-3,18
5,-3,8,-8,1,14,18,8,-3,14,-3,-7,0,-8,-6,20,16,19,8,3,-3,-7,16
6,-8,6,-2,-7,-7,10,13,-8,-9,14,7,-9,4,15,3,-6,6,-10,-5,18,6,9
7,-6,10,5,10,-8,17,6,3,9,17,11,15,-7,14,1,11,-9,-1,9,-9,13,7
8,0,-9,6,6,0,-2,12,5,-10,11,11,8,5,14,13,4,12,11,14,-3,7,-5
9,12,7,3,8,13,-9,-8,3,7,18,12,15,8,15,-8,10,12,1,15,12,-8,-1
10,-1,-7,10,-5,-8,18,1,7,6,-3,-5,-9,-5,16,14,-10,17,-3,8,0,0,0
