"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,-8,20,11,12,-3,13,11,19,2,0,-8,14,7,20,13,13,-4,18,18,11,4,13
2,10,19,7,-9,11,-5,13,18,-3,-7,0,-7,-2,17,19,16,12,17,16,10,2,-9
3,19,7,-7,13,6,-8,-9,13,11,3,5,3,-6,17,-4,7,15,16,-5,-6,-2,1
4,-7,-3,-10,11,7,-2,14,6,17,18,6,0,2,-6,8,2,-1,18,10,7,19,-7
5,8,-9,10,2,-9,4,-2,20,-9,4,0,-3,-5,-8,5,-9,12,8,19,0,4,-5
6,2,-1,6,19,5,-5,3,13,-3,-5,0,12,-7,4,1,5,-4,-8,12,14,-5,12
7,-3,4,-6,9,6,-4,16,2,-9,15,-6,2,-5,16,1,11,6,6,5,-4,10,3
8,0,10,-5,12,20,9,-2,9,9,-9,2,8,1,8,20,11,4,-7,1,7,4,17
9,1,8,10,4,9,20,-3,9,17,9,13,1,-10,20,15,5,-8,7,0,10,10,-8
10,7,14,4,15,14,10,10,-8,-6,2,10,-8,11,20,6,-10,-3,16,-1,9,-5,-9
