"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,9,1,-1,5,19,2,1,1,-9,11,16,18,10,9,20,8,2,3,-7,6,16,8
2,-3,12,10,-2,7,10,-2,-7,19,11,16,-1,-10,2,10,18,3,-6,14,20,9,5
3,-5,16,3,-9,4,6,-1,-1,18,7,18,0,3,-9,10,17,12,13,5,20,17,-8
4,6,6,-4,-9,7,20,-2,16,0,-8,11,9,10,12,8,2,-6,16,10,14,5,7
5,17,6,6,14,12,-5,5,20,-7,-6,-9,17,-1,16,13,9,-7,-6,18,11,3,1
6,-6,1,8,-3,8,0,-5,11,4,-3,13,12,4,-6,17,3,-9,4,-7,13,5,16
7,15,-8,-9,-4,10,-5,18,13,-6,2,4,1,-4,0,1,-7,11,15,-8,8,12,3
8,7,6,-10,19,12,-4,-9,20,12,12,-4,4,5,-2,8,-3,10,17,0,9,18,16
9,8,-8,-6,1,17,11,6,11,-1,7,2,6,3,0,0,1,1,14,7,5,-6,-3
10,4,-4,-9,9,-5,11,13,19,-4,9,9,6,12,4,-8,20,-3,18,12,14,6,6
