"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,3,5,11,-10,20,-2,5,16,-9,6,-1,-7,1,4,-9,-1,-2,-4,-4,-5,-1,-8
2,-1,15,4,1,17,5,14,16,-2,-8,5,20,7,7,9,18,20,18,16,-10,-4,9
3,-4,14,11,-8,14,18,20,-3,19,20,-3,-2,18,6,18,6,-9,-4,18,20,2,9
4,16,7,19,16,-5,5,12,-6,-10,15,-7,-5,15,14,-7,8,2,0,16,1,13,20
5,-10,0,18,7,-9,19,16,15,18,-6,12,11,-10,-4,8,20,11,-6,-6,14,9,-4
6,7,18,1,7,12,-9,-1,-10,1,-7,4,18,-4,8,6,18,-10,1,-10,18,-10,2
7,-6,-10,7,18,0,0,2,13,0,15,8,2,2,20,-2,8,-4,18,-5,-8,-4,-9
8,10,12,6,1,-9,14,-2,1,13,4,16,20,7,19,18,15,-2,7,-1,3,13,-1
9,-7,20,0,2,12,20,-5,-3,16,-6,7,0,-8,11,11,0,-4,17,18,4,16,16
10,-10,-6,-10,-6,3,8,-4,-8,20,7,6,6,14,6,-3,-1,0,5,13,5,-7,-10
