"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,-1,18,7,-10,-8,7,-10,-7,0,-3,-6,-7,-7,-4,14,18,-3,10,-7,-10,3,-10
2,3,5,-3,16,3,13,-5,19,19,8,15,5,0,5,17,1,19,-3,5,-6,4,3
3,-1,12,10,16,16,-4,6,-3,20,16,0,-1,8,11,3,-6,2,3,1,9,12,16
4,2,3,2,10,-9,5,17,14,16,2,19,-3,-10,14,-5,4,18,1,-3,-3,14,-3
5,17,9,13,6,-10,-4,7,0,-10,19,3,-6,10,9,1,-10,13,2,17,7,3,11
6,-10,8,-10,11,4,3,-6,1,-2,11,-7,2,11,-7,14,5,-7,1,-9,-2,15,19
7,14,16,-8,7,1,19,-4,8,10,4,1,-6,6,2,16,13,20,2,1,11,20,5
8,-2,-10,14,19,12,5,-3,10,7,8,0,-3,7,5,1,4,13,7,16,9,-1,-8
9,0,7,1,4,17,17,-4,11,13,-9,12,-8,15,16,4,-9,4,-3,4,10,-6,-9
10,4,-10,6,0,7,0,19,-6,13,8,-1,7,12,9,8,-9,20,18,5,15,15,14
