"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,18,16,17,-2,13,11,-2,7,-4,17,6,3,11,-10,-2,-7,17,16,-8,19,0,18
2,4,6,-10,-2,7,-10,-4,11,9,20,18,18,4,14,13,6,12,5,17,-4,-3,-3
3,20,-10,8,-7,16,18,2,-2,6,5,15,-7,11,10,5,2,-6,13,0,-8,17,4
4,-7,11,-4,4,-1,3,-7,-9,-6,-10,11,18,-10,18,0,16,-10,-1,8,-7,8,-5
5,17,2,8,4,-4,-5,18,-9,11,2,9,6,-3,14,-7,11,4,19,-8,0,5,19
6,-5,19,-9,6,0,11,-9,1,10,-2,5,11,-10,-4,-2,0,5,4,12,20,-8,6
7,-1,8,2,-9,-2,9,-2,16,5,-1,11,-9,10,-10,16,-6,10,15,4,11,-2,15
8,-6,13,-8,14,-9,11,10,16,5,10,5,-2,-10,11,12,10,4,0,7,19,3,8
9,6,6,-8,14,1,11,-1,20,11,-3,-10,-2,14,2,-5,-5,19,18,18,13,-5,6
10,-10,7,-10,5,3,17,4,-2,-2,11,1,18,11,-10,8,-6,-9,3,-9,7,18,-2
