"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,6,-3,-5,13,-10,-5,16,7,17,17,14,7,-8,2,16,20,3,-8,4,-4,11,-6
2,6,16,-4,-3,3,11,13,2,-5,8,-1,8,-1,9,-5,1,11,-8,-2,-3,20,10
3,8,-6,0,19,-7,16,9,15,5,20,4,7,7,19,12,11,10,-5,-2,19,-7,20
4,-8,18,2,16,1,14,6,6,13,-1,-2,10,-5,-3,-5,17,20,17,10,10,-10,0
5,-5,4,-2,20,19,-6,16,13,12,7,11,13,7,-3,-7,-6,13,4,-3,5,11,-6
6,17,20,-5,-4,4,-1,-3,5,12,-8,-8,10,9,5,1,15,-6,16,0,-10,18,14
7,-1,8,4,16,15,-10,-8,-1,13,19,3,17,2,6,4,15,8,-8,12,10,15,8
8,0,19,-2,11,8,13,8,-5,6,-6,19,-10,-10,9,1,-4,13,-6,-7,6,2,-1
9,12,9,8,18,19,9,0,-9,-9,-7,3,6,1,2,6,-6,10,8,8,7,5,4
10,-7,8,13,-4,-8,0,0,-8,6,-1,0,6,-2,11,8,-4,-7,17,19,14,-2,-5
