"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,0,2,20,-1,11,13,-10,16,17,17,2,-8,10,-4,8,13,3,0,-6,4,-1,2
2,2,0,13,4,-7,-5,-4,14,-10,-1,-8,3,9,-6,7,20,20,0,-6,-7,-4,18
3,0,18,12,-10,-4,15,12,-7,7,16,13,-9,10,0,20,-6,-10,5,-3,19,20,19
4,14,13,14,-10,10,18,14,3,0,20,6,-3,11,2,-3,20,12,18,-1,-8,2,17
5,-4,19,17,11,5,-6,3,7,20,2,-3,4,-1,7,1,-4,-10,5,4,15,17,11
6,-6,2,-9,10,1,6,9,14,15,-4,14,4,4,6,7,-1,20,-6,-1,5,9,1
7,-9,-3,20,-1,-10,4,15,3,-6,5,9,7,-1,20,-9,19,-7,14,-6,4,3,-7
8,-2,0,1,-3,-6,-6,3,-5,-5,12,16,18,-6,9,12,-1,-4,-9,-10,13,19,-8
9,20,16,-10,-6,-9,-8,16,8,-10,-1,-5,3,7,1,10,14,11,19,-10,11,18,9
10,4,3,11,-4,10,16,-6,13,7,-8,1,8,17,2,-9,20,0,1,4,14,-9,0
