"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,8,15,9,20,5,0,9,-5,-4,3,9,9,10,2,-1,11,5,-8,-7,9,-6,14
2,12,-4,13,20,20,2,6,20,-9,2,4,17,-1,17,-4,20,1,-5,0,7,-7,15
3,18,11,9,11,-9,-7,19,-4,16,-3,-7,6,3,-6,11,4,14,15,10,3,-1,7
4,7,-9,16,1,15,-8,11,20,15,7,3,9,3,-1,12,8,5,2,13,-1,8,17
5,15,1,6,9,7,7,3,0,-3,0,19,-8,9,6,12,18,2,9,13,1,-9,-9
6,4,3,-1,1,15,-4,0,18,13,7,-8,8,7,2,18,-1,3,13,15,14,20,-2
7,-4,3,0,-1,5,-2,20,-4,0,2,-5,17,0,8,15,11,20,10,1,2,-2,15
8,20,-4,5,-10,2,8,15,-6,6,13,7,1,1,18,7,19,16,18,10,3,2,-5
9,8,14,-7,8,20,-7,3,-2,10,3,8,15,3,2,-7,20,2,13,3,-6,10,6
10,-4,0,6,-5,7,-5,1,20,-1,14,-3,13,10,4,17,-4,2,6,3,-9,14,-8
