"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,14,-4,6,10,20,2,-9,3,-1,-1,17,-2,-10,-8,14,-8,-8,7,14,-2,-2,-1
2,10,10,-7,-6,6,4,13,7,-6,9,7,-1,-10,17,12,17,-6,-4,12,6,9,3
3,18,12,8,-1,3,13,5,4,-10,17,9,1,9,18,-4,20,4,15,10,19,19,-9
4,20,8,-4,12,-4,17,13,-5,18,18,15,12,-10,-10,3,17,19,8,15,8,-4,11
5,13,12,9,6,-3,-7,5,13,15,1,-6,-6,-7,-8,11,19,-1,5,8,8,-10,-7
6,18,-6,18,-4,-7,6,17,6,1,-7,1,-10,-7,2,1,9,3,17,1,16,8,-3
7,15,2,7,5,-9,6,-4,9,-2,8,0,11,-10,-9,8,17,14,6,-4,-9,-2,0
8,17,3,2,5,-7,1,11,-3,10,12,17,1,6,7,15,8,9,15,2,5,11,7
9,20,9,-3,-10,-9,5,15,7,16,-4,-7,1,17,7,12,-3,19,-2,2,-2,-6,4
10,5,19,11,9,17,3,-5,5,-3,7,-1,16,18,3,-6,9,3,11,-5,18,9,-4
