"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,-8,20,19,14,-7,-8,-2,-8,11,6,14,-8,2,15,-7,4,15,-8,-3,-3,18,2
2,-10,2,8,17,10,11,-1,-3,10,20,-3,10,17,-7,5,-7,-10,-7,19,-8,10,-9
3,-10,9,-10,4,3,15,-5,11,-7,2,-2,5,16,-2,16,-1,-6,-10,-7,-9,-10,-2
4,13,7,3,5,17,18,18,-4,-10,-9,13,1,16,19,-3,5,-6,8,-10,-2,8,-2
5,7,17,-8,-8,19,19,8,10,12,15,-3,19,-8,-10,-6,16,17,11,7,-2,2,16
6,13,-5,4,-4,-2,10,13,15,19,4,15,15,-3,0,-10,9,8,-5,-7,11,-8,-5
7,7,1,20,-1,-9,-7,-9,10,-5,10,5,-9,9,20,18,11,11,-8,15,17,19,-6
8,20,-5,16,3,10,6,7,0,-3,-4,-8,18,14,4,13,16,-2,-2,16,6,11,17
9,17,0,12,-7,15,12,-9,-5,-7,19,-1,-9,-1,6,19,1,-1,-4,14,16,6,3
10,17,-10,-8,-6,-9,1,-9,9,-7,0,-4,15,-2,2,12,11,11,-2,5,2,19,16
