"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,-8,-5,-5,-9,15,-10,18,-1,8,-5,-6,-1,1,1,11,0,-7,13,1,-10,9,5
2,0,-6,15,-1,-10,10,-8,2,12,1,0,1,17,-8,20,12,-8,13,-7,-5,-2,12
3,0,-8,8,19,13,-2,5,1,18,-1,9,5,6,19,19,-10,7,1,11,-10,-4,4
4,16,-3,3,18,14,-1,10,12,7,-3,1,15,2,-1,13,10,-6,9,-4,-4,1,2
5,17,-1,1,-2,1,6,10,6,4,12,-6,14,20,0,2,7,-1,4,-2,1,13,0
6,5,-7,8,9,19,-5,13,12,-9,7,18,10,2,16,20,-2,16,7,10,-2,-9,5
7,-2,6,7,-9,18,8,12,2,-10,-5,-8,9,-3,-7,8,15,6,4,-8,1,17,17
8,11,9,8,-10,10,-8,3,0,5,-9,-10,-2,-6,12,1,-8,-3,-8,14,9,-2,12
9,16,20,12,-3,13,9,17,0,6,-4,4,-2,10,14,20,6,15,14,12,-6,12,3
10,8,-2,-7,-5,17,-4,0,-4,-8,-5,9,18,18,19,17,15,2,14,16,18,15,3
