"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,10,18,11,-1,1,4,13,-8,-1,-10,6,12,-1,18,3,5,-5,-10,16,7,8,11
2,-4,5,9,-2,-8,2,17,-10,15,3,13,5,-9,19,1,-7,19,20,11,-4,15,-5
3,10,3,-7,-8,11,4,12,0,16,-9,17,0,2,9,17,7,1,-4,1,-9,7,6
4,14,7,15,3,-9,-10,10,12,4,-6,14,-9,5,-5,-1,6,13,0,-9,15,-9,-7
5,12,-1,3,2,11,-10,0,-2,19,-9,-6,16,16,-10,-4,9,11,3,5,15,-5,-10
6,12,-4,7,-9,13,0,-7,-6,-1,12,20,1,-2,1,20,20,-3,9,3,-2,7,-9
7,1,19,-1,14,10,-3,4,-4,10,7,5,20,-1,15,5,-8,-1,-2,17,9,3,-3
8,16,3,12,-9,19,1,5,-2,4,-9,-2,8,-6,15,5,8,3,7,12,-2,20,20
9,11,12,5,8,2,6,19,-6,-10,-3,2,7,13,5,14,13,8,20,-4,-3,15,1
10,-8,-5,13,20,11,-8,1,6,-4,8,13,3,7,6,-2,-5,20,13,4,11,10,12
