"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,3,14,-10,-7,-7,-5,14,17,-7,-4,4,11,4,0,6,10,11,8,19,0,-3,14
2,9,19,-3,14,-9,-8,18,-6,-9,9,-1,-4,2,-1,-8,-9,20,4,-8,16,5,-6
3,-6,3,12,6,0,11,-5,-1,-2,9,18,-9,-3,3,12,-1,-6,5,5,-5,2,-4
4,-4,0,8,16,-5,10,13,0,0,7,-4,11,7,-4,-6,0,15,1,-3,10,-5,10
5,-3,-2,14,13,15,1,-8,16,8,-6,12,8,-2,-3,3,-4,10,14,18,7,-4,8
6,19,18,7,16,17,13,9,4,5,11,17,8,10,4,20,-8,12,17,-5,3,-7,12
7,-10,14,-2,5,2,-2,13,6,5,-9,-7,20,20,-4,18,17,-2,14,9,8,4,-4
8,-2,-7,-8,20,1,5,9,-7,14,9,4,-9,9,15,13,-7,-10,-5,15,13,-9,7
9,6,-8,20,3,-7,2,-6,16,18,17,17,17,2,9,11,-5,17,10,-3,10,20,-8
10,-4,19,14,20,16,2,-8,14,20,1,0,19,14,8,8,10,6,-9,-3,-6,12,-8
