"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,6,12,18,19,2,14,-8,-2,4,2,-5,-6,2,-1,-5,-4,-3,6,9,11,-8,20
2,18,3,3,19,5,16,5,4,19,4,16,19,-2,-1,16,14,8,-2,14,18,-8,-4
3,20,-3,13,14,-1,-7,10,19,-5,-1,10,12,-5,3,11,11,3,9,9,20,-9,-6
4,2,13,6,4,-10,15,15,1,-5,2,-1,0,20,3,10,-8,-2,5,11,18,19,16
5,20,-10,11,5,1,0,-7,18,7,10,10,18,12,3,20,6,-6,-7,18,19,15,15
6,10,17,-10,0,13,-9,-7,-7,10,2,16,-5,2,-5,6,-2,-10,12,5,-2,7,20
7,-9,-9,9,0,13,9,-1,0,-5,-3,-1,-1,-9,9,8,17,-6,12,20,8,4,-6
8,9,15,-2,16,-3,-3,19,-8,7,15,-5,-2,-3,10,5,-2,3,12,2,-7,-1,9
9,-2,20,14,16,-6,20,-3,-3,18,3,-4,-1,0,7,-5,20,20,12,14,1,-4,1
10,0,7,14,20,18,2,17,-1,-3,-8,18,13,-2,4,0,16,7,20,2,-6,20,-7
