"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,5,17,-3,-10,4,0,12,-6,14,-7,6,16,15,20,10,16,3,4,-3,19,-9,10
2,15,13,14,9,1,-4,18,6,15,15,11,18,9,10,7,20,3,2,14,-10,14,-10
3,-9,-2,-2,-7,-7,14,3,14,9,12,1,1,-5,18,-5,-2,-9,19,-4,14,13,8
4,12,18,-3,13,10,11,-6,12,10,-1,20,-10,19,16,-3,2,11,7,1,-7,19,13
5,10,-5,-4,-4,18,12,1,7,-10,3,11,1,9,-1,-1,6,9,12,-6,-4,-8,8
6,-6,-8,-1,4,18,6,20,3,5,11,4,4,4,8,-9,8,-1,-7,-6,-8,3,20
7,5,18,0,2,3,2,7,2,16,0,-10,-1,1,7,-5,-6,17,9,18,5,20,12
8,7,11,-4,-9,10,15,-5,7,-6,-4,-8,18,3,10,12,-3,-8,17,3,6,7,17
9,6,-2,-2,-3,7,-10,0,-3,13,0,3,9,15,1,12,8,1,1,5,4,8,-1
10,-4,13,8,13,6,17,19,-5,20,-4,-8,2,-6,10,20,-6,3,19,11,3,-3,17
