"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,-2,-4,-1,-5,12,20,5,-1,18,4,-3,2,-5,3,-8,11,18,-9,18,4,8,-5
2,8,-10,-2,-7,-8,-1,15,17,5,15,20,17,-2,8,-4,-6,11,-4,5,-4,0,-6
3,20,20,-6,-10,5,-3,9,7,-1,17,20,0,12,-6,-4,-7,16,14,7,9,10,-7
4,19,12,-3,1,16,15,-5,-9,3,6,-2,-9,3,-2,13,-6,-9,-9,-5,0,7,6
5,8,5,-1,8,1,-1,-2,2,-8,-3,8,20,8,4,13,2,4,-8,9,16,-1,19
6,2,-10,-4,-6,0,-2,11,2,7,-3,12,17,-8,12,11,8,20,-5,19,19,-7,-8
7,5,18,16,19,9,16,13,20,17,2,11,0,8,-5,9,-9,0,-4,-9,17,3,14
8,6,9,12,6,-3,-4,19,15,-10,14,11,16,16,18,2,-9,5,5,-7,6,11,17
9,-6,12,7,-10,19,4,-10,0,-7,10,11,7,-3,6,5,4,9,-3,0,16,15,17
10,4,11,-10,-4,5,-1,-3,19,8,18,19,-3,-1,20,2,-3,4,-10,5,-10,19,2
