"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,9,16,-1,14,-4,10,-1,-10,16,-10,17,20,20,-9,-4,3,-5,5,9,-7,-9,16
2,1,-6,7,0,15,18,-9,-9,17,1,4,-10,-9,13,-2,-9,11,13,7,0,6,-8
3,5,4,4,-1,-2,-6,5,0,0,16,11,-2,-1,-10,3,13,8,11,3,15,17,2
4,9,2,-1,19,-9,7,13,-10,-1,-1,15,18,4,8,17,-2,-3,11,3,6,20,0
5,12,-10,2,-3,-3,19,-2,13,11,19,10,-2,16,-7,4,-8,-4,7,7,1,17,10
6,2,15,-6,8,-2,16,20,10,3,8,-2,-10,2,18,-10,-3,10,11,15,4,-7,9
7,12,13,17,0,18,4,5,1,-4,-1,-1,-7,3,8,11,1,5,-7,-10,-3,-1,-8
8,-4,-8,4,-5,18,-8,4,15,5,20,-9,-9,3,-7,17,5,-3,10,1,-5,-9,-10
9,4,5,-2,-6,13,20,8,0,8,5,17,19,0,7,4,-3,20,19,20,6,9,17
10,0,14,10,19,-2,17,-4,4,-6,-4,20,-2,20,8,20,7,-6,13,12,-5,3,1
