"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,12,-2,11,0,-2,-5,5,6,1,-4,18,-4,8,11,12,6,6,-8,1,-6,-1,13
2,-3,20,-5,18,13,3,0,5,13,3,4,1,-10,-8,-8,19,11,13,9,17,-5,18
3,12,20,-4,19,-5,5,6,3,1,18,2,4,-1,-2,7,7,2,7,9,11,8,9
4,11,16,9,17,-3,9,6,-10,-6,-5,15,1,-1,-9,15,1,-6,5,2,8,19,5
5,-9,-10,6,3,-6,-4,16,-6,20,-5,-5,-8,-3,-2,-10,-2,-10,1,17,6,-2,-3
6,18,13,-8,7,1,18,-1,4,13,-1,14,13,6,-7,-1,12,-8,2,18,7,15,2
7,-7,8,7,10,14,13,-7,8,-10,16,2,3,19,9,3,1,6,4,14,1,7,14
8,0,-4,12,13,5,-2,-1,10,1,17,15,-5,-5,-9,2,0,7,14,16,4,2,2
9,14,16,20,-7,-3,19,-6,12,-8,-6,3,12,-1,2,1,-2,13,-9,16,-8,13,0
10,3,-8,10,15,-9,11,19,9,-7,20,1,19,-1,9,-4,14,-3,-7,5,15,14,-3
