"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,-3,10,12,6,-9,-8,-5,-2,1,-1,7,10,-4,0,12,18,-1,8,3,7,12,-9
2,10,0,9,7,-6,6,1,-8,11,17,-6,-1,3,12,13,15,-10,-6,7,13,13,20
3,10,-1,-3,-3,2,-10,2,17,-9,-10,-6,13,14,11,15,13,-4,-6,1,8,9,18
4,20,-2,19,19,-7,13,-7,6,-3,0,10,11,6,19,15,1,18,3,-10,6,18,-6
5,-1,12,20,-4,-7,18,19,16,16,-1,19,-9,9,12,5,-4,-3,-5,-3,-10,6,-6
6,17,-3,-5,18,-1,-6,14,-4,-3,-10,-6,5,11,20,-2,7,12,9,16,-8,-6,15
7,3,-2,19,3,8,-6,-6,10,16,10,15,-1,12,16,3,0,-7,18,-9,18,10,15
8,14,7,17,-10,8,7,12,-8,5,4,17,14,-9,-6,1,1,9,-4,-10,-9,6,-1
9,-1,-9,5,14,-7,-10,9,0,9,0,11,0,17,15,-5,-4,-6,12,2,8,-1,-8
10,8,-1,4,5,10,20,-8,20,-7,11,12,8,14,10,-8,-7,-5,7,4,4,4,6
