"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,8,13,0,11,-8,-7,6,18,13,18,-3,-7,-1,4,15,20,10,17,19,-8,18,-3
2,18,0,-2,-5,-5,13,-6,2,19,-8,16,16,-3,10,-9,12,19,5,14,-6,3,2
3,20,4,7,0,14,-10,-2,17,-3,-7,0,10,17,2,-6,-3,16,-5,13,-1,-7,-1
4,-10,7,-9,15,-10,7,3,8,-4,19,3,9,20,0,15,6,11,-3,13,8,0,17
5,5,12,9,-6,13,-6,-9,4,8,20,9,5,0,7,5,-4,15,9,8,-5,9,17
6,11,7,-3,13,-5,14,3,7,-10,6,-4,13,12,9,6,16,14,14,-2,-8,2,-5
7,18,12,-9,12,16,17,1,-10,-1,-3,15,2,6,5,15,3,-3,2,2,-5,5,-8
8,10,16,16,11,-1,-6,14,-5,4,-5,12,10,-7,17,0,1,2,6,14,-3,-8,10
9,-5,2,14,9,-5,12,7,-3,-9,-9,-1,12,-8,-4,6,-10,2,-4,14,-10,15,-4
10,11,-6,13,18,-7,18,14,-9,-9,11,17,15,-4,5,2,15,19,20,-8,-8,-2,0
