"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,6,14,2,-7,6,-2,15,-3,18,-4,18,4,19,3,16,6,-5,15,-3,8,-2,14
2,0,17,16,16,5,2,7,7,-7,8,2,4,-8,1,-7,2,11,11,-9,7,1,1
3,17,3,14,9,19,12,-9,-4,-2,-4,17,-10,9,-10,11,2,-7,-6,-2,10,8,13
4,-2,-1,10,8,-6,6,9,-7,16,-5,6,9,16,2,-2,9,-4,-8,15,-8,0,1
5,13,18,-8,2,15,6,4,19,-9,16,19,8,12,8,-2,-7,0,10,14,8,19,16
6,20,-10,-10,-9,18,9,-2,-9,3,-8,-8,10,10,10,0,13,14,19,-1,2,-6,-3
7,4,7,-9,8,5,17,-10,14,19,-8,17,17,-7,-6,-6,-6,0,5,18,14,19,-3
8,-3,-3,15,2,3,-10,0,-1,10,7,3,17,-5,12,-3,17,11,10,-6,11,20,3
9,-3,-6,-3,-3,-7,0,-3,-3,4,-6,11,7,-2,0,3,-7,19,7,1,9,-2,0
10,-4,15,-6,-2,-1,-5,0,19,-3,-6,15,-7,5,11,14,-3,5,-3,14,-1,17,2
